step,training_loss,validation_loss
0,2.3224,
10,2.2803,
20,2.3637,
30,2.2136,
40,2.0109,
50,2.0495,
60,2.0531,
70,2.4096,
80,1.8445,
90,2.0207,
100,2.1598,
110,1.9667,
120,2.1494,
130,2.0116,
140,1.9614,
150,2.2059,
160,1.8467,
170,2.0012,
180,2.0184,
190,2.0952,
200,2.0419,
210,2.0327,
220,1.7906,
230,2.0916,
240,2.2101,
250,2.0384,
260,1.9161,
270,1.8541,
280,2.1549,
290,2.106,
300,2.0256,
310,1.7685,
320,2.0255,
330,1.9923,
340,1.9537,
350,2.0882,
360,1.8677,
370,2.0648,
380,1.7961,
390,2.1122,
400,1.918,
410,2.1829,
420,1.9213,
430,2.0178,
440,2.0927,
450,2.0065,
460,1.7773,
470,2.0222,
480,2.0371,
490,2.5155,
500,1.6623,
510,1.7872,
520,2.0112,
530,1.8259,
540,2.079,
550,1.9856,
560,1.8797,
570,2.1214,
580,2.2248,
590,2.1909,
600,2.0065,
610,2.2696,
620,1.9478,
630,2.2658,
640,2.4229,
650,2.0991,
660,1.8799,
670,2.0529,
680,2.2506,
690,2.2005,
700,2.0383,
710,2.3535,
720,2.1077,
730,1.8002,
740,2.0742,
750,2.3149,
760,2.2016,
770,1.9984,
780,2.1234,
790,2.2434,
800,2.0413,
810,2.0933,
820,2.0208,
830,2.1746,
840,2.1541,
850,2.0681,
860,2.4195,
870,2.1428,
880,2.0691,
890,2.4184,
900,2.3575,
910,2.0,
920,1.8872,
930,2.6376,
940,1.9483,
950,1.8889,
960,2.1481,
970,2.1068,
980,1.6036,
990,2.0319,
1000,1.9751,
1010,2.0478,
1020,1.9134,
1030,2.0759,
1040,2.0774,
1050,2.2432,
1060,2.1317,
1070,2.009,
1080,2.0032,
1090,2.0159,
1100,1.8818,
1110,1.7858,
1120,1.9084,
1130,2.1223,
1140,1.9541,
1150,2.058,
1160,2.2542,
1170,2.1296,
1180,2.1976,
1190,2.1111,
1200,2.2751,
1210,2.0573,
1220,1.9736,
1230,1.8629,
1240,1.8961,
1250,2.1728,
1260,2.1189,
1270,1.9484,
1280,2.1598,
1290,1.7684,
1300,2.2827,
1310,1.7978,
1320,2.1188,
1330,2.1566,
1340,2.092,
1350,1.84,
1360,2.5709,
1370,1.749,
1380,2.5363,
1390,1.754,
1400,2.0129,
1410,1.8415,
1420,2.3711,
1430,2.115,
1440,2.056,
1450,1.834,
1460,2.087,
1470,2.3785,
1480,2.1772,
1490,2.251,
1500,2.0859,
1510,2.1309,
1520,1.9548,
1530,1.9965,
1540,2.2504,
1550,2.0543,
1560,2.0289,
1570,1.7773,
1580,1.9023,
1590,2.2077,
1600,2.1677,
1610,1.9591,
1620,2.0043,
1630,2.2959,
1640,2.1228,
1650,2.4139,
1660,1.9679,
1670,2.0461,
1680,1.9147,
1690,2.1556,
1700,2.0577,
1710,1.9694,
1720,1.9554,
1730,1.9759,
1740,1.9169,
1750,2.0993,
1760,2.4317,
1770,1.7693,
1780,1.9687,
1790,2.3381,
1800,1.7592,
1810,1.7677,
1820,2.036,
1830,2.0604,
1840,1.9817,
1850,1.9896,
1860,2.0324,
1870,1.9851,
1880,2.1722,
1890,2.1389,
1900,2.0399,
1910,2.1576,
1920,2.143,
1930,2.1833,
1940,1.8184,
1950,2.2481,
1960,2.2532,
1970,1.8302,
1980,1.9979,
1990,2.0414,
2000,1.9465,
2010,1.8506,
2020,2.0411,
2030,2.0039,
2040,2.1843,
2050,1.7563,
2060,1.9078,
2070,2.2578,
2080,2.3187,
2090,1.8449,
2100,2.2341,
2110,1.9522,
2120,2.3025,
2130,2.1881,
2140,1.8582,
2150,1.8058,
2160,1.9693,
2170,1.853,
2180,1.8592,
2190,1.829,
2200,2.423,
2210,2.0924,
2220,2.1484,
2230,2.2863,
2240,1.8405,
2250,1.9654,
2260,1.7552,
2270,2.0134,
2280,1.6288,
2290,1.8293,
2300,1.9242,
2310,2.256,
2320,2.0902,
2330,2.0357,
2340,1.9614,
2350,1.8719,
2360,1.8494,
2370,2.1528,
2380,2.0977,
2390,1.9647,
2400,1.8975,
2410,1.7949,
2420,2.1317,
2430,2.0087,
2440,2.0611,
2450,1.9105,
2460,1.856,
2470,2.0878,
2480,2.1768,
2490,1.8395,
2500,2.1557,
2510,2.0723,
2520,2.3008,
2530,1.704,
2540,1.9667,
2550,2.0993,
2560,1.9429,
2570,1.9282,
2580,2.0799,
2590,2.1094,
2600,1.905,
2610,2.0514,
2620,1.7911,
2630,2.107,
2640,2.0527,
2650,1.9507,
2660,1.6041,
2670,2.0853,
2680,1.8407,
2690,2.2183,
2700,1.9297,
2710,2.0594,
2720,2.1273,
2730,1.6757,
2740,2.1981,
2750,2.069,
2760,2.0168,
2770,2.1514,
2780,2.0241,
2790,1.9616,
2800,1.9236,
2810,2.2197,
2820,2.0146,
2830,1.8291,
2840,2.2471,
2850,2.2958,
2860,1.9652,
2870,2.3448,
2880,1.8466,
2890,2.0619,
2900,2.3284,
2910,1.7535,
2920,1.8888,
2930,2.1377,
2940,2.0156,
2950,2.0604,
2960,1.8601,
2970,2.3974,
2980,1.9467,
2990,2.3689,
3000,2.0836,
3010,2.1253,
3020,1.9882,
3030,1.9862,
3040,2.0715,
3050,1.8673,
3060,1.8647,
3070,2.2659,
3080,2.2188,
3090,2.1138,
3100,2.1567,
3110,1.942,
3120,2.0377,
3130,2.0487,
3140,1.836,
3150,2.0139,
3160,1.9387,
3170,1.9297,
3180,1.927,
3190,2.3815,
3200,2.1225,
3210,1.8911,
3220,1.8564,
3230,1.9389,
3240,2.1334,
3250,2.1398,
3260,2.1706,
3270,2.1247,
3280,1.9129,
3290,1.9065,
3300,2.2425,
3310,1.8461,
3320,2.2167,
3330,2.1105,
3340,2.2624,
3350,1.8541,
3360,2.2139,
3370,1.7002,
3380,2.0946,
3390,2.4866,
3400,2.2531,
3410,1.71,
3420,2.0222,
3430,2.0447,
3440,2.1485,
3450,2.4908,
3460,2.5871,
3470,2.2792,
3480,2.0574,
3490,1.9069,
3500,2.0661,
3510,2.0241,
3520,1.9182,
3530,2.2234,
3540,2.0328,
3550,1.99,
3560,1.6202,
3570,2.2525,
3580,1.8554,
3590,2.0196,
3600,2.106,
3610,2.1026,
3620,1.9682,
3630,2.2028,
3640,1.8919,
3650,2.0638,
3660,2.5076,
3670,2.0991,
3680,2.3195,
3690,2.1061,
3700,2.0007,
3710,1.9537,
3720,2.1799,
3730,2.0685,
3740,2.0614,
3750,1.9044,
3760,1.7586,
3770,2.0119,
3780,2.0833,
3790,2.2113,
3800,2.018,
3810,1.8555,
3820,2.1392,
3830,1.8827,
3840,2.0334,
3850,2.3569,
3860,2.3732,
3870,1.7961,
3880,1.9217,
3890,1.9963,
3900,1.7434,
3910,1.9045,
3920,2.1917,
3930,1.8032,
3940,1.6607,
3950,2.1943,
3960,2.2009,
3970,1.9071,
3980,2.1365,
3990,1.8535,
4000,2.2787,
4010,1.9621,
4020,1.9331,
4030,2.234,
4040,1.9944,
4050,2.049,
4060,2.1823,
4070,2.0797,
4080,2.255,
4090,2.1694,
4100,1.8838,
4110,1.918,
4120,2.0187,
4130,2.316,
4140,2.0752,
4150,1.9558,
4160,2.2642,
4170,1.8506,
4180,1.7142,
4190,1.9303,
4200,2.0446,
4210,1.9868,
4220,1.8361,
4230,2.2019,
4240,2.2113,
4250,1.953,
4260,2.0628,
4270,2.1012,
4280,1.7213,
4290,1.8514,
4300,1.9592,
4310,2.0912,
4320,2.1624,
4330,2.264,
4340,1.8933,
4350,1.9118,
4360,2.3436,
4370,1.8736,
4380,2.0922,
4390,1.9852,
4400,1.9866,
4410,1.9727,
4420,1.9312,
4430,1.6583,
4440,1.9596,
4450,2.3182,
4460,2.2848,
4470,1.7868,
4480,2.0795,
4490,2.2022,
4500,2.0332,
4510,1.8275,
4520,2.0765,
4530,1.9226,
4540,2.2977,
4550,1.8663,
4560,2.0719,
4570,1.9187,
4580,2.058,
4590,2.0605,
4600,2.1002,
4610,2.2354,
4620,2.3837,
4630,2.0786,
4640,2.2682,
4650,1.8849,
4660,2.0255,
4670,2.048,
4680,1.9223,
4690,1.873,
4700,2.3454,
4710,1.8646,
4720,1.9352,
4730,1.8237,
4740,1.9819,
4750,2.0489,
4760,1.93,
4770,1.9354,
4780,1.7204,
4790,1.9725,
4800,1.8778,
4810,1.9948,
4820,1.8513,
4830,1.9914,
4840,1.749,
4850,1.8115,
4860,2.1595,
4870,2.1059,
4880,1.8142,
4890,1.7593,
4900,1.9657,
4910,2.2494,
4920,2.2893,
4930,2.116,
4940,2.0383,
4950,1.8388,
4960,1.9284,
4970,2.1614,
4980,2.0593,
4990,1.9777,
5000,2.1692,
5010,1.9276,
5020,2.0495,
5030,2.0677,
5040,1.8644,
5050,2.0164,
5060,2.2009,
5070,2.03,
5080,2.1983,
5090,2.0393,
5100,2.1461,
5110,1.9175,
5120,2.2569,
5130,2.0653,
5140,1.8338,
5150,1.8811,
5160,1.849,
5170,1.8353,
5180,2.1053,
5190,2.0526,
5200,1.758,
5210,2.0867,
5220,2.3856,
5230,2.2143,
5240,2.1457,
5250,1.967,
5260,2.2154,
5270,2.2422,
5280,2.2335,
5290,2.1754,
5300,1.9152,
5310,2.3136,
5320,2.017,
5330,2.2533,
5340,1.8847,
5350,2.3844,
5360,1.9468,
5370,1.888,
5380,2.2265,
5390,2.2068,
5400,1.9781,
5410,2.0087,
5420,2.0864,
5430,1.9052,
5440,2.1116,
5450,1.9894,
5460,2.1378,
5470,1.8656,
5480,1.9354,
5490,1.8758,
5500,2.2631,
5510,2.147,
5520,2.0842,
5530,1.9387,
5540,1.8783,
5550,1.9816,
5560,1.713,
5570,1.9178,
5580,2.1783,
5590,1.6711,
5600,2.3569,
5610,1.8293,
5620,1.9883,
5630,2.1412,
5640,2.3366,
5650,1.8578,
5660,2.0141,
5670,1.9724,
5680,1.9381,
5690,1.8705,
5700,2.0447,
5710,2.0926,
5720,2.2008,
5730,2.0784,
5740,2.0847,
5750,1.9579,
5760,2.0109,
5770,2.1561,
5780,2.2975,
5790,1.7725,
5800,2.0877,
5810,2.0232,
5820,1.72,
5830,1.9507,
5840,1.9721,
5850,2.1122,
5860,2.6571,
5870,1.7743,
5880,1.7798,
5890,2.1982,
5900,1.722,
5910,1.8308,
5920,1.8274,
5930,1.9147,
5940,1.7779,
5950,1.9935,
5960,2.1717,
5970,1.7066,
5980,2.1429,
5990,2.0906,
