step,training_loss,validation_loss
0,2.3404,
10,1.9633,
20,2.2318,
30,2.1579,
40,1.9836,
50,2.0107,
60,2.0126,
70,2.3098,
80,1.8236,
90,1.9775,
100,2.1463,
110,1.9514,
120,2.0913,
130,1.9782,
140,1.9272,
150,2.1823,
160,1.8347,
170,1.9645,
180,1.959,
190,2.0388,
200,2.0258,
210,2.0019,
220,1.7835,
230,2.0635,
240,2.1835,
250,1.9927,
260,1.8944,
270,1.8358,
280,2.1214,
290,2.0796,
300,1.994,
310,1.7564,
320,1.9989,
330,1.9522,
340,1.9414,
350,2.0455,
360,1.8471,
370,2.0219,
380,1.7612,
390,2.1028,
400,1.8968,
410,2.1149,
420,1.9049,
430,1.9985,
440,2.075,
450,1.9891,
460,1.7702,
470,1.9911,
480,1.9869,
490,2.42,
500,1.6522,
510,1.7689,
520,1.9879,
530,1.8146,
540,2.0487,
550,1.962,
560,1.8584,
570,2.0788,
580,2.19,
590,2.156,
600,1.9814,
610,2.1093,
620,1.9307,
630,2.23,
640,2.332,
650,1.9978,
660,1.8565,
670,2.0159,
680,2.1875,
690,2.1051,
700,2.0091,
710,2.2985,
720,2.0676,
730,1.7877,
740,2.0536,
750,2.2885,
760,2.1561,
770,1.9659,
780,2.085,
790,2.2054,
800,2.0012,
810,2.0793,
820,1.9941,
830,2.1149,
840,2.0764,
850,2.0497,
860,2.3731,
870,2.0817,
880,2.0148,
890,2.3846,
900,2.3255,
910,1.9542,
920,1.8523,
930,2.6015,
940,1.9333,
950,1.862,
960,2.1167,
970,2.0739,
980,1.589,
990,1.9597,
1000,1.9542,
1010,1.9863,
1020,1.8947,
1030,2.0512,
1040,2.0327,
1050,2.2142,
1060,2.082,
1070,1.9925,
1080,1.9741,
1090,1.9904,
1100,1.8511,
1110,1.7478,
1120,1.9024,
1130,2.0148,
1140,1.9276,
1150,2.0353,
1160,2.2315,
1170,2.1111,
1180,2.1708,
1190,2.0836,
1200,2.2147,
1210,2.0085,
1220,1.8725,
1230,1.8523,
1240,1.8548,
1250,2.172,
1260,2.0651,
1270,1.9423,
1280,2.126,
1290,1.7436,
1300,2.1736,
1310,1.7719,
1320,2.055,
1330,2.1349,
1340,2.0706,
1350,1.8356,
1360,2.5152,
1370,1.7315,
1380,2.4962,
1390,1.7328,
1400,1.9945,
1410,1.814,
1420,2.3271,
1430,2.0623,
1440,2.0295,
1450,1.824,
1460,2.0468,
1470,2.3907,
1480,2.1403,
1490,2.2365,
1500,2.0658,
1510,2.1101,
1520,1.9321,
1530,1.9823,
1540,2.1439,
1550,2.0366,
1560,2.004,
1570,1.745,
1580,1.8955,
1590,2.1386,
1600,2.1312,
1610,1.9388,
1620,1.9996,
1630,2.2348,
1640,2.1131,
1650,2.3669,
1660,1.9261,
1670,2.0378,
1680,1.886,
1690,2.134,
1700,2.0323,
1710,1.9441,
1720,1.9489,
1730,1.9583,
1740,1.8973,
1750,2.0694,
1760,2.393,
1770,1.7509,
1780,1.9607,
1790,2.2763,
1800,1.7339,
1810,1.7361,
1820,2.0124,
1830,2.0252,
1840,1.9592,
1850,1.9687,
1860,1.957,
1870,1.9722,
1880,2.1396,
1890,2.1087,
1900,2.0027,
1910,2.1316,
1920,2.1237,
1930,2.1582,
1940,1.7819,
1950,2.2041,
1960,2.2061,
1970,1.8152,
1980,1.9814,
1990,2.0091,
2000,1.9015,
2010,1.8311,
2020,1.9918,
2030,1.9676,
2040,2.1354,
2050,1.7389,
2060,1.8247,
2070,2.209,
2080,2.2582,
2090,1.8382,
2100,2.196,
2110,1.9352,
2120,2.187,
2130,2.1511,
2140,1.8265,
2150,1.7877,
2160,1.9433,
2170,1.8155,
2180,1.8422,
2190,1.8193,
2200,2.3777,
2210,2.0523,
2220,2.1124,
2230,2.207,
2240,1.8148,
2250,1.952,
2260,1.7325,
2270,1.9759,
2280,1.6152,
2290,1.8276,
2300,1.8832,
2310,2.2294,
2320,2.0694,
2330,1.9832,
2340,1.9397,
2350,1.8531,
2360,1.8249,
2370,2.0632,
2380,2.0696,
2390,1.944,
2400,1.8549,
2410,1.771,
2420,2.0903,
2430,1.9876,
2440,1.987,
2450,1.8954,
2460,1.8316,
2470,2.0617,
2480,2.1372,
2490,1.8209,
2500,2.1131,
2510,2.0409,
2520,2.2273,
2530,1.6843,
2540,1.947,
2550,2.045,
2560,1.9205,
2570,1.9161,
2580,2.0345,
2590,2.0938,
2600,1.8669,
2610,2.0153,
2620,1.7775,
2630,2.086,
2640,2.0378,
2650,1.9249,
2660,1.5926,
2670,2.0262,
2680,1.8311,
2690,2.1866,
2700,1.9131,
2710,2.0279,
2720,2.0108,
2730,1.6624,
2740,2.1485,
2750,2.0213,
2760,1.9688,
2770,2.1312,
2780,2.0093,
2790,1.9257,
2800,1.9012,
2810,2.1843,
2820,1.9336,
2830,1.8251,
2840,2.2154,
2850,2.2667,
2860,1.906,
2870,2.2924,
2880,1.8284,
2890,2.0408,
2900,2.2757,
2910,1.6643,
2920,1.8717,
2930,2.1044,
2940,1.9946,
2950,2.0335,
2960,1.836,
2970,2.3425,
2980,1.9295,
2990,2.349,
3000,2.0565,
3010,2.1038,
3020,1.9789,
